Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
400 block Fitch St,,,1,,,,,1
400 block Gifford St,1,,,1,,3,1,6
400 block Grant Av,1,,,,,,,1
400 block Grant Blvd,,,,2,,,,2
400 block Graves St,,,1,,,,,1
400 block Griffiths St,,,,1,,1,,2
400 block Hamilton St,,,,1,,,,1
400 block Harrison St,,,,3,,,,3
400 block Harwood Av,1,,,,,,,1
400 block Hawley Av,1,,,2,,,,3
400 block Helen St,,,,1,,,,1
400 block Hickock Av,,,1,,,,,1
400 block Hickok Av,,,,1,,,,1
400 block Highland St,,,,,,1,,1
400 block Hixson Av,,,1,1,,,,2
400 block Irving Av,,,,1,,,,1
400 block James St,5,,,10,,1,,16
400 block Kimber Rd,,,,1,,,1,2
400 block Kirk Av,,,,,,1,,1
400 block Kirkpatrick St,2,,5,,,,,7
400 block Lillian Av,,,1,2,,1,1,5
400 block Marshall St,,,2,,,,,2
400 block Merriman Av,1,,1,1,,,,3
400 block Midland Av,1,,,2,,,,3
400 block Montgomery St,,,,2,,,,2
400 block Monticello Dr  N,,,,1,,,,1
400 block N Franklin St,,,,2,,,,2
400 block N Salina St,1,,2,,,,,3
400 block Oak St,,,1,,,,,1
400 block Onondaga Av,,,,1,,,,1
400 block Oswego St,,,,1,,,,1
400 block Otisco St,,,,,,,1,1
400 block Park St,,,1,,,,,1
400 block Pleasantview Av,,,,1,,,,1
400 block Pond St,,,,2,,,1,3
400 block Rich St,,1,,3,,,1,5
400 block Richmond Av,,,,1,,,,1
400 block Ridgewood Dr,,,,1,,,,1
400 block Roberts Av,,,,3,,,,3
400 block Robineau Rd,,,,1,,,,1
400 block Roosevelt Av,,,2,1,,,,3
400 block Rugby Rd,,,,1,,,,1
400 block S Alvord St,2,,,6,,,,8
400 block S Beech St,1,,3,1,,,1,6
400 block S Clinton St,,,1,11,,,,12
400 block S Edwards Av,1,,,1,,,,2
400 block S Franklin St,,,,1,,,,1
400 block S Midler Av,2,,,,,,,2
400 block S Salina St,1,,3,18,,1,2,25
400 block S Ssalina St,,,,1,,,,1
400 block S Warren St,,,,2,,,,2
400 block Seymour St,,,,1,,,,1
400 block Shonnard St,1,,1,,1,1,,4
400 block Smith St,1,1,,,,,,2
400 block Snyder Av,,,,1,,,,1
400 block Solar St,,,,1,,,,1
400 block South Av,,,,1,,,1,2
400 block Spencer St,,,,1,,,,1
400 block Stafford Av,,,,1,,,,1
400 block State Fair Blvd,,,,1,,,,1
400 block Sterling Av,,,,1,,,,1
400 block Stinard Av,,,,1,,,,1
400 block Stolp Av,,,,1,,,,1
400 block Sunset Av,,1,,,,,,1
400 block Temple St,1,,,,,,,1
400 block Tennyson Av,,,,1,,,,1
400 block Thurber St,,,,1,,,,1
400 block Tompkins St,1,,2,,,,,3
400 block Tully St,,,,,,1,,1
400 block Turtle St,,,1,,,,,1
400 block Ulster St,,,1,,,,,1
400 block Union Pl,,,1,2,,1,,4
400 block University Av,1,,,5,,,,6
400 block University Pl,,,1,,,,,1
400 block Valley Dr,,,1,1,,,1,3
400 block Velasko Rd,,,,1,,,,1
400 block Village Dr,,,,1,,,,1
400 block W Colvin St,,,1,,,,,1
400 block W Division St,,,,4,,,,4
400 block W Lafayette Av,,,2,,,,,2
400 block W Newell St,1,,,,,,,1
400 block W Onondaga St,,,2,6,,3,,11
400 block W Ostrander Av,,,,3,,,,3
400 block W Seneca Tpke,1,,2,3,,1,1,8
400 block Westcott St,,,2,2,,,,4
400 block Westmoreland Av,,,1,2,,,,3
400 block Whittier Av,,,1,,,,,1
400 block Wilkinson St,1,,1,1,,,,3
400 block Willis Av,,,1,,,,,1
400 block Wolf St,,,,,,,1,1
400 block Wyoming St,,,,1,,,,1
4000 block S Salina St,,,,7,,,,7
4100 block Brighton Pl,,,,1,,,,1
4100 block E Genesee St,,,,3,,,,3
4100 block S Salina St,,,3,48,,1,,52
4200 block S Salina St,,,,1,,,,1
4300 block S Salina St,,,,2,,,,2
4400 block S Salina St,1,,4,1,,,,6
4500 block S Salina St,,,,1,,,,1
4600 block S Salina St,1,,2,,,,,3
4600 block W Onondaga Blvd,,,,1,,,,1
4700 block Onondaga Blvd,,,,30,,,,30
4700 block S Salina St,,1,2,1,,,,4
4800 block S Salina St,,,,5,,,1,6
4900 block Broad Rd,3,,,,,,,3
500 block Allen St,,,2,1,,,,3
500 block Avery Av,2,,,,,,1,3
500 block Beattie St,,,,1,,,,1
500 block Boyden St,,,,1,,,,1
500 block Brattle Rd,,,,1,,,,1
500 block Bryant Av,,,,3,,,,3
500 block Burnet Av,,,1,,,,1,2
500 block Burt St,,,,1,,,,1
500 block Butternut St,1,,,18,,3,2,24
500 block Carbon St,,,2,2,,,,4
500 block Catherine St,,,1,1,,,,2
500 block Clarendon St,,,1,1,,,1,3
500 block Columbus Av,,,,1,,,,1
500 block Comstock Av,1,,,,,,,1
500 block Cortland Av,,,,,,,1,1
500 block Court St,,,,2,,,1,3
500 block Crossett St,,,,1,,,,1
500 block Cumberland Av,,,2,,,,,2
500 block Delaware St,1,,1,3,,1,,6
500 block Dudley St,,,1,,,,,1
500 block Durston Av,,,1,1,,,,2
500 block E Brighton Av,,,,,,,1,1
500 block E Genesee St,,,,,,,1,1
500 block E Willow St,1,,1,,,,,2
500 block Emerson Av,1,,1,,,,,2
500 block Erie Blvd E,,,,1,,,,1
500 block Erie Blvd W,,,,5,,,,5
500 block Euclid Av,,,,5,,,,5
500 block Fabius St,,1,,,,,,1
500 block Garfield Av,1,,,,,,,1
500 block Gifford St,,,1,2,1,,,4
500 block Grand Av,,,1,,,,,1
500 block Hamilton St,,,,,,,1,1
500 block Hawley Av,,,,,,1,,1
500 block Helen St,1,,,,,,,1
500 block Herkimer St,,,,1,,,,1
500 block Highland St,2,,2,1,,,,5
500 block Hixson Av,,,,1,,,,1
500 block Ivy Ridge Rd,,,,1,,,,1
500 block James St,,,,2,,1,,3
500 block Jamesville Av,,,,1,,,,1
500 block Kirkpatrick St,,,5,,,,,5
500 block Lemoyne Av,,,,1,,,,1
500 block Lynch Av,,,,2,,,,2
500 block Marcellus St,,,1,,,,,1
500 block Meadowbrook Dr,,,,1,,,,1
500 block Montgomery St,,,1,2,,,,3
500 block Myrtle St,,,1,,,,,1
500 block N Salina St,,,,3,,,,3
500 block N Townsend St,,,,1,,,,1
500 block Northcliffe Rd,,,1,,,,,1
500 block Nottingham Rd,,,2,1,,,,3
500 block Oak St,,,,1,,,,1
500 block Oakwood Av,1,,1,,,1,,3
500 block Park Av,,,,1,,,,1
500 block Park St,,,1,2,,1,,4
500 block Plum St,,,,2,,,,2
500 block Plymouth Dr,,,,1,,,,1
500 block Pond St,1,,,1,,,,2
500 block Prospect Av,,,1,,,,,1
500 block Richmond Av,1,,1,2,,,,4
500 block Robeneau Rd,,,,1,,,,1
500 block Rowland St,,,,1,,,,1
500 block S Beech St,,,1,,,,,1
500 block S Clinton St,5,,3,12,,2,2,24
500 block S Crouse Av,,1,,1,,,,2
500 block S Franklin St,,,,3,,,,3
500 block S Salina St,3,1,1,14,,1,1,21
500 block S State St,3,,1,22,,2,10,38
500 block S Townsend St,,,,1,,,,1
500 block S West St,,,,1,,,,1
500 block Seymour St,,,1,,,,,1
500 block Solar St,,,,2,,,,2
500 block South Av,,,,1,,,,1
500 block Spring St,,,,1,,,,1
500 block State Fair Blvd,,,,1,,,,1
500 block Stinard Av,,,,1,,,,1
500 block Stolp Av,,,,,,,1,1
500 block Summit Av,,,,1,,,,1
500 block Talman St,,,1,,,,,1
500 block Teall Av,,,,1,,,,1
500 block Tennyson Av,,,,1,,,1,2
500 block Tompkins St,,,,1,,,,1
500 block Turtle St,,,,1,,,,1
500 block Ulster St,,,2,1,,,,3
500 block University Av,,,2,2,,,1,5
500 block University Pl,,,,1,,,,1
500 block Valley Dr,,,,3,,,1,4
500 block Vine St,,,,1,,,,1
500 block W Brighton Av,1,1,1,1,,,,4
500 block W Colvin St,,,,,,1,,1
500 block W Erie Blvd,,,,1,,,,1
500 block W Newell St,,,,1,,,1,2
500 block W Onondaga Av,,,,,,1,,1
500 block W Onondaga St,,,,5,,,,5
500 block W Ostrander Av,,,,1,,,,1
500 block W Seneca Tpke,,,1,1,,,,2
500 block Wadsworth St,,,,1,,,,1
500 block Walnut Av,,,,4,,,,4
500 block Wescott St,,,,1,,,,1
500 block Westcott St,,,,2,,,1,3
500 block Westmoreland Av,,,1,,,,,1
500 block Whittier Av,2,,,,,,,2
500 block Wolcott Av,,,,1,,,,1
500 block Wolf St,4,,,2,,,,6
500 block Wyoming St,,,,,,1,,1
5200 block S Salina St,,,,1,,,,1
5400 block S Salina St,1,,,,,,,1
5500 block S Salina St,,,1,,,,,1
5800 block S Salina St,,,,,,1,,1
600 block Ackerman Av,,,1,1,,,,2
600 block Ash St,,,,1,,,,1
600 block Atlantic Av,,,1,,,,,1
600 block Barnes Av,,,1,,,,1,2
600 block Bear St,,,1,,,,,1
600 block Bellevue Av,,,1,,,,,1
600 block Berwick Rd,,,,1,,,,1
600 block Burnet Av,,,1,1,,,,2
600 block Butternut St,,,1,14,,1,,16
600 block Cadillac St,,,,,,,1,1
600 block Cannon St,1,,1,,,,,2
600 block Carbon St,,,1,3,,,,4
600 block Catherine St,,,4,1,,,2,7
600 block Comstock Av,,,,,,1,,1
600 block Court St,,,2,,,,,2
600 block Dewitt St,,,,1,,,,1
600 block E Division St,1,,5,3,,,,9
600 block E Genesee St,,,,1,,,,1
600 block E Seneca Tpke,,,,3,,,1,4
600 block E Willow St,,,,,,1,,1
600 block Erie Blvd W,,,1,1,,,,2
600 block Euclid Av,,,,4,,,,4
600 block Gifford St,1,,2,1,,,1,5
600 block Hamilton St,,,,1,,,,1
600 block Helen St,,,,2,,,,2
600 block Hiawatha Blvd,,,,1,,,,1
600 block Hiawatha Blvd W,,,,1,,1,1,3
600 block Highland St,1,,1,,,,2,4
600 block James St,,,1,7,,,1,9
600 block John St,,,,,,1,,1
600 block Kirkpatrick St,,,,1,,,,1
600 block Lemoyne Av,1,,1,,,,,2
600 block Lodi St,1,,,,,,,1
600 block Mountainview Av,,,,1,,,,1
600 block N Geddes St,,,1,,,,,1
600 block N Mcbride St,1,,,1,,,1,3
600 block N Salina St,1,,3,4,,1,,9
600 block N State St,1,,,,,,,1
600 block N Townsend St,,,,1,,,,1
600 block Oak St,1,,,,,,,1
600 block Oneida St,1,,,,,,,1
600 block Oswego St,1,,,,,,,1
600 block Otisco St,1,,,,,,,1
600 block Park Av,,,,4,,,,4
600 block Park St,,,,1,,,,1
600 block Pond St,1,,,,,1,,2
600 block Richmond Av,,,,1,,,,1
600 block Robinson St,2,2,,4,,,,8
600 block S Beech St,,,1,,,,,1
600 block S Clinton St,,,,,,1,,1
600 block S Crouse Av,,,1,3,,,,4
600 block S Geddes St,3,,1,4,,1,,9
600 block S Salina St,,,,2,,,,2
600 block S State St,,,,1,,,,1
600 block S West St,,,,1,,1,,2
600 block Salisbury Park Dr,,,,1,,,,1
600 block Salt Springs Rd,,,,1,,,,1
600 block Schuyler St,,,,1,,,,1
600 block Scoville Av,,,1,,,,,1
600 block Second North St,,,1,,,,,1
600 block Sedgwick Dr,,,,1,,,,1
600 block Seymour St,,,,1,,,,1
600 block South Av,,,1,2,,,1,4
600 block Teall Av,2,,,,,,,2
600 block Tompkins St,,,,1,,1,,2
600 block Tully St,,,1,,,,1,2
600 block Turtle St,2,,1,,,,,3
600 block Ulster St,,,1,,,,,1
600 block Vine St,,,,,,,1,1
600 block W Brighton Av,,,,1,,,,1
600 block W Colvin St,,,,1,,,,1
600 block W Genesee St,1,,,5,,,1,7
600 block W Lafayette Av,,,,1,,,,1
600 block W Newell St,,,1,1,,,,2
600 block W Onondaga St,1,,4,6,,1,,12
600 block W Seneca Tpke,,,1,,,,,1
600 block Walnut Av,,,3,4,,,,7
600 block Walnut St,,,,1,,,,1
600 block Westmoreland Av,,,1,,,,,1
600 block Wolf St,,,,1,,,,1
700 block 1St North St,,,,2,,,,2
700 block Ackerman Av,,,1,1,,,,2
700 block Allen St,,,,3,,,,3
700 block Ash St,,,1,,,,,1
700 block Avery Av,,,1,,,,,1
700 block Ballantyne Rd,,,,1,,,,1
700 block Bear St,,,,,,,1,1
700 block Burnet Av,1,,,,,,,1
700 block Butternut St,4,,2,6,,4,,16
700 block Carbon St,,,1,,,,,1
700 block Catherine St,1,,1,,,1,,3
700 block Comstock Av,,,1,1,,,,2
700 block Crawford Av,,,,2,,,,2
700 block Danforth St,,,,1,,,,1
700 block Dewitt St,,,1,,,,,1
700 block E Adams St,23,,,3,,3,,29
700 block E Brighton Av,,,,2,,,,2
700 block E Colvin St,,,,1,,,,1
700 block E Division St,,,4,,,,,4
700 block E Genesee St,,,,8,,,,8
700 block E Laurel St,1,,2,1,,,,4
700 block Emerson Av,1,,,1,,,,2
700 block Erie Blvd E,,,,2,,,2,4
700 block Erie Blvd W,,,2,5,,,,7
700 block Euclid Av,,,7,5,,,1,13
700 block First North St,,,6,76,,2,,84
700 block Glenwood Av,,,,1,,,,1
700 block Hamilton St,,,,1,,,,1
700 block Hawley Av,,,2,,,,,2
700 block Hazelwood Av,1,,,,,,,1
700 block Hickory St,2,,1,1,,2,,6
700 block Hixson Av,,,,,,1,,1
700 block Irving Av,4,,,7,,,,11
700 block Ivy Ridge Rd,,,,1,,,,1
700 block James St,8,,3,13,,2,,26
700 block Kirkpatrick St,,,1,2,,1,,4
700 block Lancaster Av,,,4,,,,,4
700 block Lemoyne Av,,,1,,,,,1
700 block Livingston Av,,,1,7,,,,8
700 block Lodi St,,,,3,,,2,5
700 block Marcellus St,,,2,,,,,2
700 block Midland Av,,,,1,,,,1
700 block Milton Av,,,,2,,,,2
700 block Montgomery St,,,,1,,,,1
700 block N Alvord St,2,1,5,,,,1,9
700 block N Clinton St,,,,2,,,,2
700 block N Mcbride St,,,,1,,,,1
700 block N Salina St,2,,1,1,,1,1,6
700 block N Townsend St,,,,1,,,,1
700 block Ostrom Av,,,6,3,,,1,10
700 block Oswego St,,,1,,,,,1
700 block Park Av,3,,3,1,,,,7
700 block Park St,,,,1,,1,,2
700 block Pond St,1,,2,,,,,3
700 block S Beech St,,,,1,,,,1
700 block S Crouse Av,1,,,9,,1,,11
700 block S Geddes St,,,3,,,,1,4
700 block S Salina St,2,,,2,,1,,5
700 block S Warren St,1,,1,,,,,2
700 block S West St,,,,1,,,,1
700 block Salt Springs Rd,,,,,,1,,1
700 block Schuyler St,,,1,1,,,,2
700 block Second North St,,,,1,,,,1
700 block Seeley Rd,,,1,,,,,1
700 block South Av,,,,1,,,,1
700 block Stinard Av,,,,,,,1,1
700 block Stolp Av,,,,1,,,1,2
700 block Sumner Av,,,,3,,,,3
700 block Thurber St,,,,1,,,,1
700 block Tully St,1,,,,,,,1
700 block University Av,,,,3,,,,3
700 block Valley Dr,1,,1,,,1,,3
700 block Van Rensselaer St,,,,,,,1,1
700 block Vanrensselear St,,,,1,,,,1
700 block W Adams St,,,,1,,,,1
700 block W Genesee St,,,1,4,,,,5
700 block W Newell St,,,2,,,,,2
700 block W Onondaga St,,,1,,,,,1
700 block W Seneca Tpke,,,,1,,,,1
700 block Wadsworth St,,,,3,,,,3
700 block Walnut Av,,,,1,,,,1
700 block Westcott St,,,3,2,,1,,6
700 block Westmoreland Av,,,1,1,,,,2
700 block Winkworth Pkwy,,,,1,,,,1
700 block Winton St,,,,1,,,,1
700 block Wolf St,,,,2,,,,2
800 block Ackerman Av,,,1,5,,,,6
800 block Burnet Av,1,,,1,,,1,3
800 block Butternut St,4,,,2,,1,1,8
800 block Cadillac St,,,,1,,,,1
800 block Carbon St,1,,,,,,,1
800 block Comstock Av,,,,1,,,,1
800 block Darlington Rd,,,,1,,,,1
800 block E Adams St,,,,1,,,,1
800 block E Brighton Av,,,,3,,,,3
800 block E Division St,1,,,,,,,1
800 block E Genesee St,,,,,,,1,1
800 block E Willow St,,,,1,,,,1
800 block Emerson Av,,,,2,,,,2
800 block Erie Blvd E,,,,1,,,,1
800 block Erie Blvd W,,,1,7,,,1,9
800 block Euclid Av,,,2,1,,,,3
800 block First North St,1,,,,,,,1
800 block Hawley Av,,,,1,,,,1
800 block Hazelwood Av,,,,1,,,,1
800 block Hiawatha Blvd W,,,1,,,,,1
800 block Highland St,2,1,1,2,,,,6
800 block Ivy Ridge Rd,,,,,,1,,1
800 block James St,,,1,3,,1,,5
800 block Kirkpatrick St,,,3,,,,1,4
800 block Lancaster Av,,,3,3,,,,6
800 block Livingston Av,,,1,2,,,,3
800 block Maryland Av,,,1,,,,,1
800 block N Alvord St,,,2,1,,4,,7
800 block N Alvored St,,,,,,1,,1
800 block N Clinton St,,,,4,,,,4
800 block N Geddes St,,,1,1,,,,2
800 block N Mcbride St,,,,2,,,,2
800 block N Salina St,1,,3,7,,1,,12
800 block N State St,,,,2,,,,2
800 block N Townsend Av,,,,1,,,,1
800 block N Townsend St,,,,,,1,,1
800 block Onondaga Av,1,,1,,,,,2
800 block Ostom Av,1,,,,,,,1
800 block Ostrom Av,,,,1,,,1,2
800 block Park St,1,,1,3,,,,5
800 block Pond St,,,3,,,,,3
800 block S Geddes St,,,1,,,,,1
800 block S Salina St,,,1,,,1,,2
800 block S State St,,,,4,,,,4
800 block S Wilbur Av,1,,,,,,,1
800 block Salt Springs Rd,,,,1,,,,1
800 block South Av,,1,,1,,,,2
800 block Spencer St,,,,1,,,,1
800 block Sumner Av,1,,,3,,,,4
800 block Tallman St,1,,1,,,,,2
800 block Teall Av,,,,2,,,,2
800 block Turtle St,1,,,1,,,,2
800 block University Av,,,,1,,,,1
800 block Valley Dr,,,,3,,,,3
800 block Vanrensselaer St,,,,1,,,,1
800 block W Belden Av,,,,1,,,,1
800 block W Colvin St,,,,1,,,,1
800 block W Erie Blvd,,,,1,,,,1
800 block W Fayette St,,,1,,,,,1
800 block W Genesee St,,,,2,,,,2
800 block W Lafayette Av,1,,,,,,,1
800 block Wadsworth St,1,,,,,,,1
800 block Wolf St,1,,,2,,,,3
900 block Ackerman Av,1,,3,10,,,,14
900 block Avery Av,,,1,1,,,,2
900 block Bellevue Av,2,,1,2,,,,5
900 block Burnet Av,3,,1,2,,,,6
900 block Butternut St,1,,2,1,,,2,6
900 block Canal St,,,,1,,,,1
900 block Comstock Av,,,1,1,,1,,3
900 block Danforth St,,,,,,,1,1
900 block Darlington Rd,,,,1,,,,1
900 block Dewitt St,,,,2,,,,2
900 block E Brighton Av,,,,2,,,,2
900 block E Genesee St,,,,1,,3,,4
900 block Emerson Av,,,2,3,,,,5
900 block Erie Blvd E,,,,,,,1,1
900 block Erie Blvd W,,,,2,,,,2
900 block Euclid Av,,,1,,,,,1
900 block First North St,,,1,1,,,,2
900 block Glencove Rd,,,,1,,,,1
900 block Glenwood Av,2,,,6,,,,8
900 block Harrison St,,,,1,,,,1
900 block Hawley Av,,,1,1,,,,2
900 block Hiawatha Blvd,,,,,,,2,2
900 block Hiawatha Blvd W,,,,3,,,1,4
900 block Highland St,,1,2,1,,2,,6
900 block Irving Av,,,,1,,,,1
900 block James St,1,,2,18,,1,2,24
900 block Jamesville Av,,,1,,,,,1
900 block Kirkpatrick St,,,,2,,,,2
900 block Lancaster Av,,,,3,,,,3
900 block Lemoyne Av,1,,,,,,,1
900 block Midland Av,,,,1,,,,1
900 block N Clinton St,,,1,,,,,1
900 block N Mcbride St,,,,2,,1,,3
900 block N Salina St,,,1,,,1,,2
900 block N State St,,,,1,,,,1
900 block N Townsend St,,,1,2,,,,3
900 block Oak St,,,,1,,,,1
900 block Onondaga Av,1,,,,,,1,2
900 block Park Av,,,,1,,,,1
900 block Park St,,,,,,,1,1
900 block Pond St,,,,2,,,,2
900 block S Geddes St,1,,,,,,,1
900 block S Mcbride St,,,,1,,,,1
900 block S Salina St,1,,1,6,,1,,9
900 block S Townsend St,1,,,,,,,1
900 block Salt Springs Rd,,,,,,,1,1
900 block South Av,1,,1,,,,,2
900 block Spring St,,,2,,,,,2
900 block Tallman St,,,2,,,,,2
900 block W Genesee St,,,,2,,,,2
900 block W Lafayette Av,2,,,,,,,2
900 block Walnut Av,,,,1,,,,1
900 block Westcott St,,,1,2,,,,3
900 block Westmoreland Av,,,1,,,,1,2
900 block Willis Av,2,,,1,,,,3
9000 block Destiny Usa Dr,,,,2,,,,2
9500 block Destiny Usa Dr,,,,4,,,,4
9600 block Destiny Usa Dr,,,,4,,,,4
9800 block Destiny Usa Dr,,,,1,,,,1
9900 block Destiny Usa Dr,,,1,,,,,1
